canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
ربيع,Rabie,c,0.144017,2.11,44.38,35.09,11.31,5.58,1.41
إسلام,Islam,c,0.143781,63.96,34.84,0.81,0.25,0.11,0.02
عبدالنبي,Abdelnaby,c,0.143,0.08,19.66,39.43,25.55,13.87,1.36
رزق,Rezk,c,0.142728,1.03,14.66,26.35,29.4,25.25,3.2
فاروق,Farouk,c,0.140974,5.01,7.24,83.65,3.99,0.09,0.02
صبحي,Sobhy,c,0.139721,1.83,35.7,53.05,8.3,0.9,0.2
حسام,Hossam,c,0.138985,30.46,68.51,0.93,0.09,0.01,0.01
ناصر,Nasser,c,0.136524,2.81,83.77,5.33,2.71,4.48,0.86
عيسى,Issa,c,0.135461,1.96,9.5,18.36,27.23,35.97,6.67
نورهان,Nourhan,c,0.13527,99.99,0.01,0.0,0.0,0.0,0.0
نصر,Nasr,c,0.13458,1.82,30.01,23.31,22.44,19.11,3.17
صبري,Sabry,c,0.133681,3.32,49.02,37.15,8.96,1.22,0.29
حمادة,Hamada,c,0.131564,4.34,75.94,7.78,4.94,5.67,1.21
سما,Sama,c,0.131519,99.99,0.01,0.0,0.0,0.0,0.0
سليم,Selim,c,0.131092,2.76,6.85,17.27,31.66,35.57,5.58
ياسين,Yassin,c,0.128521,54.58,7.29,12.92,16.65,7.42,1.05
خليفة,Khalifa,c,0.126041,0.59,8.76,22.66,31.08,31.89,4.81
نبيل,Nabil,c,0.12596,4.32,59.56,31.9,4.11,0.09,0.01
فهمي,Fahmy,c,0.124842,1.09,7.02,38.13,46.22,6.04,1.22
حلمي,Helmy,c,0.12338,2.74,13.77,57.38,21.98,3.35,0.71
أنور,Anwar,c,0.123244,2.64,31.8,46.91,16.38,1.98,0.25
ممدوح,Mamdouh,c,0.122208,4.47,70.15,23.08,2.19,0.1,0.01
هنا,Hana,c,0.121254,99.81,0.0,0.0,0.0,0.11,0.07
حسني,Hosny,c,0.120083,2.98,31.2,52.09,11.47,1.85,0.35
عبدالعاطي,Abdelaty,c,0.119638,0.77,9.32,36.69,38.39,13.77,1.02
عبدالكريم,Abdelkarim,c,0.118393,2.85,13.49,32.27,32.42,17.32,1.56
عزت,Ezzat,c,0.118139,3.98,41.71,44.59,7.83,1.45,0.41
جاد,Gad,c,0.117212,0.61,5.88,19.75,36.83,32.73,3.95
عبدالمقصود,Abdelmaksoud,c,0.116268,0.37,6.16,22.53,53.5,16.8,0.63
شروق,Shorouk,c,0.115396,99.99,0.01,0.0,0.0,0.0,0.0
عامر,Amer,c,0.115078,3.11,17.36,13.12,18.27,38.82,8.79
ماهر,Maher,c,0.111826,5.1,58.75,29.88,5.84,0.37,0.07
مروان,Marwan,c,0.110672,91.0,5.48,1.26,1.16,0.89,0.2
أبوزيد,Abuzeid,c,0.110618,0.51,6.52,19.13,35.5,33.88,4.32
مسعد,Mesaad,c,0.109319,1.91,35.85,35.71,19.73,6.33,0.42
عبدالخالق,Abdelkhalek,c,0.104614,2.0,10.3,32.46,39.07,14.87,1.22
بدوي,Badawy,c,0.102688,0.5,14.38,19.64,25.65,33.13,6.3
حافظ,Hafez,c,0.102552,0.94,8.7,22.55,52.13,14.83,0.77
حسانين,Hassanein,c,0.102016,0.3,5.33,16.61,34.53,39.49,3.6
جلال,Galal,c,0.101171,4.7,21.86,51.04,16.39,4.88,1.06
أميرة,Amira,c,0.10088,100.0,0.0,0.0,0.0,0.0,0.0
هاشم,Hashem,c,0.099709,3.07,15.4,30.92,34.29,13.86,2.25
إمام,Emam,c,0.099309,1.67,9.88,23.55,40.31,22.69,1.77
فارس,Fares,c,0.099073,73.2,10.81,7.59,5.01,2.85,0.52
يونس,Younes,c,0.098164,2.92,7.31,23.78,32.37,29.06,4.24
شوقي,Shawky,c,0.096865,3.14,18.63,62.45,14.57,1.02,0.18
جرجس,Gerges,c,0.09563,7.28,21.89,18.64,26.14,25.46,0.59
بيومي,Bayoumi,c,0.094831,0.22,5.63,18.23,42.48,30.5,2.83
شيماء,Shaimaa,c,0.094495,100.0,0.0,0.0,0.0,0.0,0.0
أدهم,Adham,c,0.093877,91.6,6.78,1.11,0.36,0.09,0.06
خلف,Khalaf,c,0.093759,0.73,21.89,43.63,20.83,10.72,2.1
خميس,Khamis,c,0.093387,0.59,27.3,35.83,18.45,15.94,1.8
مي,Mai,c,0.093287,99.89,0.01,0.0,0.02,0.03,0.04
عبدالعليم,Abdelalim,c,0.092533,1.52,11.37,38.65,41.4,6.92,0.14
زكريا,Zakaria,c,0.09246,4.24,29.14,51.34,13.38,1.78,0.12
عمار,Ammar,c,0.092278,63.83,6.53,4.47,7.31,14.82,2.93
بدر,Badr,c,0.090534,15.3,15.49,17.54,17.16,28.8,5.36
محسن,Mohsen,c,0.088427,4.87,66.69,20.31,4.24,3.23,0.65
مازن,Mazen,c,0.087982,93.26,3.39,1.21,0.91,1.13,0.11
الدسوقي,Eldesouky,c,0.087028,0.24,7.46,20.16,44.88,23.84,3.28
رضوان,Radwan,c,0.086656,2.13,9.87,17.1,30.09,35.43,5.14
عبدالتواب,Abdeltawab,c,0.086265,1.12,14.58,43.76,35.17,5.09,0.24
سيف,Seif,c,0.086111,74.23,3.81,5.26,9.44,5.97,1.22
عبدالغفار,Abdelghaffar,c,0.085366,1.29,9.41,30.61,45.5,12.52,0.67
مختار,Mokhtar,c,0.085348,4.34,30.07,41.98,19.86,3.48,0.27
زينب,Zainab,c,0.085093,99.89,0.0,0.0,0.0,0.11,0.0
حازم,Hazem,c,0.084794,51.13,46.82,1.62,0.37,0.03,0.02
عبدالسميع,Abdelsamie,c,0.083159,0.52,7.98,39.25,43.03,8.75,0.47
عبدالستار,Abdelsattar,c,0.082632,1.4,13.83,55.55,26.31,2.76,0.16
جودة,Gouda,c,0.082477,0.8,9.58,34.68,34.49,17.59,2.72
حمزة,Hamza,c,0.082359,49.54,6.85,14.89,16.06,10.57,1.94
رشاد,Rashad,c,0.081969,2.67,16.25,50.8,25.2,4.57,0.52
محروس,Mahrous,c,0.077363,0.81,22.97,43.0,25.02,7.62,0.57
عبدالحكيم,Abdelhakim,c,0.081051,2.82,18.95,38.18,36.25,3.64,0.15
بسيوني,Bassiouny,c,0.080851,0.69,10.83,27.77,36.57,21.51,2.39
بسنت,Basant,c,0.080706,100.0,0.0,0.0,0.0,0.0,0.0
حسنين,Hassanein,c,0.078817,0.15,4.82,16.7,33.04,41.17,3.93
فرح,Farah,c,0.07799,89.97,1.58,2.31,3.02,2.48,0.58
عبدالواحد,Abdelwahed,c,0.076519,1.18,7.72,25.99,39.17,24.34,1.47
رفعت,Refaat,c,0.076491,3.19,38.75,46.51,10.24,1.01,0.28
مبروك,Mabrouk,c,0.075356,0.46,16.44,29.88,29.56,22.09,1.54
قطب,Kotb,c,0.075211,0.33,8.09,25.43,41.33,23.35,1.4
الشحات,Elshahat,c,0.075111,0.16,16.97,42.81,26.12,12.08,1.79
لطفي,Lotfy,c,0.075047,1.77,16.92,57.95,18.62,3.8,0.92
معوض,Moawad,c,0.073249,0.45,9.47,32.94,35.44,20.1,1.5
عبدالمحسن,Abdelmohsen,c,0.073121,1.52,13.79,44.56,32.76,7.08,0.27
رنا,Rana,c,0.072949,100.0,0.0,0.0,0.0,0.0,0.0
معاذ,Moaz,c,0.072631,96.44,1.66,0.84,0.76,0.26,0.04
مدحت,Medhat,c,0.072041,3.57,89.3,6.03,0.97,0.08,0.06
عبدالناصر,Abdelnasser,c,0.072004,2.49,71.97,13.37,10.07,1.92,0.15
أمنية,Omneya,c,0.071532,100.0,0.0,0.0,0.0,0.0,0.0
قاسم,Kassem,c,0.071241,2.19,8.89,19.61,30.93,32.67,5.51
عبدالرؤوف,Abdelraouf,c,0.071232,2.86,14.0,46.38,30.53,5.76,0.46
نورالدين,Noureldin,c,0.070278,36.42,12.43,18.62,21.38,9.53,1.53
عفيفي,Afify,c,0.070142,0.45,6.14,14.98,29.99,43.05,5.26
طلعت,Talaat,c,0.069697,2.5,45.81,42.59,7.96,0.77,0.31
عبدالمعطي,Abdelmoaty,c,0.069252,0.45,7.08,30.4,44.75,16.38,0.89
غريب,Gharib,c,0.068889,0.65,15.69,30.64,33.16,17.48,2.27
عبدالجليل,Abdelgalil,c,0.068834,0.95,7.06,28.54,44.13,17.91,1.39
صادق,Sadek,c,0.068743,0.99,7.27,29.12,52.93,8.48,1.07
يارا,Yara,c,0.067808,100.0,0.0,0.0,0.0,0.0,0.0
عبدربه,Abdrabbo,c,0.066827,0.29,4.62,21.08,39.61,31.0,3.21
رأفت,Raafat,c,0.066509,3.91,70.39,20.7,4.11,0.66,0.2
رقية,Roqaya,c,0.065591,99.54,0.0,0.0,0.1,0.34,0.01
حنفي,Hanafy,c,0.066427,0.22,12.27,41.39,31.44,12.76,1.83
كيرلس,Kirollos,c,0.066354,93.88,1.46,0.53,2.96,1.16,0.0
مسعود,Masoud,c,0.065691,0.88,18.38,27.24,27.31,23.37,2.72
صلاحالدين,Salaheldin,c,0.065682,6.94,22.36,56.23,12.71,1.48,0.28
المتولي,Elmetwally,c,0.065473,0.42,8.12,24.54,37.72,27.05,2.07
مؤمن,Moamen,c,0.065028,64.9,27.98,2.44,2.85,1.59,0.24
درويش,Darwish,c,0.064801,0.24,4.63,15.77,29.2,43.61,6.21
حجازي,Hegazy,c,0.064792,0.45,8.15,13.12,23.03,44.58,10.18
جنة,Gannah,c,0.063984,99.49,0.0,0.01,0.0,0.44,0.06
هلال,Helal,c,0.063566,1.63,19.65,22.71,20.65,29.77,5.3
عبدالحافظ,Abdelhafez,c,0.063184,0.57,5.78,21.35,49.05,21.95,1.24
حاتم,Hatem,c,0.062903,10.19,84.29,3.58,0.66,1.04,0.23
صديق,Seddik,c,0.062884,1.07,7.16,31.65,50.09,9.03,0.87
ناجي,Nagy,c,0.06263,3.36,40.68,36.01,12.15,6.57,1.19
